epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,7631.98,1.00068,0.60157,1.09915,1,0.96192,0.97623,0.78905,0.7521,0.45224,1.03805,0.000325638,0.000325638,0.000325638
128,7678.8,0.94175,0.56578,1.06469,0.99108,0.95767,0.97569,0.78942,0.74016,0.45048,1.02389,0.000312349,0.000312349,0.000312349
129,7717.78,0.99427,0.57784,1.09425,0.99113,0.96284,0.97572,0.78834,0.75629,0.45833,1.02491,0.00029906,0.00029906,0.00029906
130,7757.19,0.91677,0.58505,1.07858,0.98847,0.9569,0.97575,0.79074,0.76665,0.44789,1.02666,0.000285772,0.000285772,0.000285772
131,7797.25,0.95135,0.58956,1.07492,0.99098,0.94665,0.97479,0.78433,0.77183,0.44491,1.03298,0.000272483,0.000272483,0.000272483
132,7836.99,0.96866,0.59764,1.08418,0.98692,0.9569,0.97508,0.79473,0.75506,0.44978,1.03227,0.000259195,0.000259195,0.000259195
133,7878.91,0.97435,0.59067,1.09924,1,0.96285,0.97574,0.80192,0.76484,0.44846,1.03228,0.000245906,0.000245906,0.000245906
134,7921.78,0.9481,0.57214,1.07001,0.9991,0.9569,0.97541,0.78736,0.77454,0.46176,1.02778,0.000232617,0.000232617,0.000232617
135,7965.72,0.978,0.58531,1.08271,0.99725,0.9569,0.97488,0.79418,0.75025,0.44536,1.01789,0.000219329,0.000219329,0.000219329
136,8007.35,0.89945,0.54831,1.04897,0.99765,0.9569,0.97523,0.79921,0.7343,0.4485,1.01806,0.00020604,0.00020604,0.00020604
137,8049.24,0.95749,0.57725,1.06237,0.99782,0.9569,0.97554,0.80081,0.70424,0.44288,1.00451,0.000192752,0.000192752,0.000192752
138,8091.26,0.91612,0.54734,1.0525,0.99726,0.9569,0.97585,0.8046,0.70184,0.44191,0.99892,0.000179463,0.000179463,0.000179463
139,8132.42,0.96991,0.59688,1.08711,0.99695,0.9569,0.97577,0.80089,0.71318,0.44976,1.00009,0.000166174,0.000166174,0.000166174
140,8173.23,0.83858,0.49582,1.01197,0.99748,0.9569,0.9756,0.79544,0.72399,0.44563,1.01339,0.000152886,0.000152886,0.000152886
141,8213.75,0.85653,0.51631,1.01963,0.99518,0.96552,0.97567,0.78826,0.74384,0.45156,1.02547,0.000139597,0.000139597,0.000139597
142,8254.15,0.84328,0.50964,1.0302,0.99085,0.96552,0.97568,0.78676,0.73639,0.441,1.02339,0.000126309,0.000126309,0.000126309
143,8294.95,0.8588,0.50578,1.03354,1,0.96347,0.9757,0.78814,0.74333,0.45112,1.02653,0.00011302,0.00011302,0.00011302
144,8337.3,0.84932,0.49219,1.02237,1,0.96379,0.97574,0.7851,0.74408,0.45071,1.02634,9.97315e-05,9.97315e-05,9.97315e-05
145,8379.76,0.84228,0.50745,1.02593,1,0.96251,0.97568,0.79111,0.72098,0.44085,1.0165,8.6443e-05,8.6443e-05,8.6443e-05
146,8419.25,0.7934,0.49296,0.9873,1,0.96334,0.97564,0.7928,0.71612,0.4325,1.00895,7.31544e-05,7.31544e-05,7.31544e-05
147,8460.29,0.81292,0.49108,1.00761,0.99822,0.9569,0.97473,0.79653,0.70717,0.43093,1.00443,5.98658e-05,5.98658e-05,5.98658e-05
148,8501.34,0.80297,0.49126,1.01553,0.99737,0.9569,0.97485,0.80045,0.70678,0.43006,1.00596,4.65772e-05,4.65772e-05,4.65772e-05
149,8540.51,0.82437,0.48011,0.99522,0.9972,0.9569,0.97473,0.80027,0.69951,0.43387,1.00548,3.32886e-05,3.32886e-05,3.32886e-05
